"Parent’s age (years)","Parent’s sex","Parent’s education level","Employment status","Family type","Your average household income per month (BDT)","Child’s sex","Child’s age (years)","Number of children","Who is the leading child caregiver at home?","Are grandparents at home involved in treatment decisions when your child is ill?","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Knowledge_Score","Knowledge_Percentage","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Attitude_Score","Attitude_Percentage","Q23","Q24","Q25","Q26","Q27","Q28","Practice_Score","Practice_Percentage","Knowledge_Status","Attitude_Status","Practice_Status"
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,0,0,1,1,1,1,1,1,1,8,66.66666666666667,0,0,1,0,0,1,0,0,0,1,3,30,0,1,1,1,0,1,4,66.66666666666667,"moderate","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10",">= 3","Mother","Never",1,1,1,0,1,0,1,1,1,1,1,0,9,75,0,0,0,1,0,0,0,0,0,1,2,20,0,1,1,1,1,1,5,83.33333333333333,"moderate","negtive","good use"
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,0,1,1,1,1,1,1,1,1,9,75,0,0,0,0,1,0,0,1,0,1,3,30,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",1,1,1,0,1,1,1,1,1,1,1,0,10,83.33333333333333,0,0,0,1,0,0,0,0,0,1,2,20,0,1,1,1,0,1,4,66.66666666666667,"good","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",1,0,0,0,1,1,1,1,0,1,1,1,8,66.66666666666667,0,0,0,0,1,1,0,1,0,1,4,40,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"36–45","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Sometimes",1,0,0,0,1,0,0,0,1,1,1,0,5,41.666666666666664,0,0,0,0,0,0,1,0,0,1,2,20,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,0,1,0,0,1,0,1,0,0,4,33.333333333333336,0,0,0,1,0,0,1,0,0,1,3,30,0,0,1,0,0,0,1,16.666666666666668,"poor","negtive","misuse"
"36–45","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","2","Mother","Never",0,0,0,0,0,0,1,1,1,1,0,0,4,33.333333333333336,0,0,1,0,1,1,1,0,0,1,5,50,1,0,1,0,0,1,3,50,"poor","uncertain","misuse"
"25–35","Female","Undergraduate","Self employed","Single parent family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Never",1,1,1,0,0,0,0,1,1,0,0,0,5,41.666666666666664,0,0,0,1,0,0,0,0,0,1,2,20,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"25–35","Female","Secondary","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","1","Mother","Never",0,0,0,0,0,0,0,1,1,1,1,1,5,41.666666666666664,1,0,0,0,1,1,1,0,0,1,5,50,0,1,1,0,0,1,3,50,"poor","uncertain","misuse"
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","1","Mother","Often",0,0,0,0,0,0,0,1,0,0,0,0,1,8.333333333333334,0,0,0,0,0,0,0,0,1,1,2,20,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10",">= 3","Mother","Never",0,1,0,1,1,0,1,1,1,0,0,1,7,58.333333333333336,0,0,0,0,0,1,1,0,0,1,3,30,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Postgraduate","Self employed","Single parent family","Middle (less than 50000 BDT)","Female","< 5","2","Mother","Sometimes",1,1,1,0,0,0,0,1,1,0,1,1,7,58.333333333333336,1,1,1,0,1,1,0,0,0,0,5,50,1,1,1,1,1,1,6,100,"moderate","uncertain","good use"
"36–45","Female","Undergraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","> 10","2","Mother","Never",0,0,0,0,0,0,1,0,1,0,0,1,3,25,1,0,1,0,1,1,1,0,0,0,5,50,1,1,1,1,0,0,4,66.66666666666667,"poor","uncertain","misuse"
"25–35","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,0,0,0,1,1,0,1,1,1,1,0,7,58.333333333333336,0,0,1,0,1,1,0,0,0,0,3,30,1,1,1,1,0,1,5,83.33333333333333,"moderate","negtive","good use"
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","> 10","2","Father","Never",0,0,0,1,1,0,1,0,1,0,0,0,4,33.333333333333336,1,0,1,0,1,1,0,0,0,0,4,40,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"25–35","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,0,0,1,0,0,1,1,0,1,1,6,50,0,0,1,0,1,1,0,0,0,1,4,40,1,1,1,0,0,1,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Postgraduate","Self employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,1,1,1,1,0,1,0,1,0,6,50,0,0,0,1,1,1,1,1,1,0,6,60,1,0,0,1,1,0,3,50,"moderate","uncertain","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Sometimes",0,0,0,1,0,1,1,1,1,0,0,0,5,41.666666666666664,0,0,1,0,1,1,0,1,1,0,5,50,1,1,1,1,0,1,5,83.33333333333333,"poor","uncertain","good use"
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,0,0,0,0,0,1,1,1,0,0,3,25,0,0,1,0,1,0,1,1,0,1,5,50,0,0,1,0,0,1,2,33.333333333333336,"poor","uncertain","misuse"
"25–35","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9",">= 3","Mother","Never",0,0,0,0,0,1,0,1,1,1,0,1,5,41.666666666666664,0,0,1,0,1,0,0,0,0,1,3,30,0,0,1,0,0,1,2,33.333333333333336,"poor","negtive","misuse"
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,0,0,1,0,0,1,1,0,1,0,6,50,0,0,0,1,0,0,0,0,0,1,2,20,0,0,1,0,0,1,2,33.333333333333336,"moderate","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10",">= 3","Mother","Never",1,0,0,0,1,0,0,1,1,0,1,0,5,41.666666666666664,0,0,0,1,0,0,0,0,0,1,2,20,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"> 45","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",0,1,1,0,1,0,1,1,1,1,1,1,9,75,0,0,0,0,0,1,1,0,0,1,3,30,1,1,1,1,0,1,5,83.33333333333333,"moderate","negtive","good use"
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,0,1,0,0,0,1,1,1,1,1,1,8,66.66666666666667,0,0,0,1,0,1,0,0,0,1,3,30,1,1,1,1,0,1,5,83.33333333333333,"moderate","negtive","good use"
"36–45","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",1,0,0,0,0,0,0,0,0,1,1,0,3,25,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,1,1,16.666666666666668,"poor","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,1,1,1,1,0,0,1,5,41.666666666666664,0,0,0,1,1,1,0,1,0,1,5,50,1,1,1,1,1,0,5,83.33333333333333,"poor","uncertain","good use"
"25–35","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,0,0,0,1,1,1,1,1,1,0,1,8,66.66666666666667,0,0,0,0,0,1,0,0,0,1,2,20,1,1,1,0,1,1,5,83.33333333333333,"moderate","negtive","good use"
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,0,0,0,0,0,0,1,1,8.333333333333334,0,0,0,0,0,0,0,0,0,1,1,10,1,1,1,0,1,0,4,66.66666666666667,"poor","negtive","misuse"
"> 45","Female","Primary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10",">= 3","Mother","Never",0,0,0,0,0,0,1,1,1,1,0,0,4,33.333333333333336,0,0,0,0,0,1,0,0,0,1,2,20,1,1,1,1,1,0,5,83.33333333333333,"poor","negtive","good use"
"25–35","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,0,1,0,1,0,1,1,1,0,0,1,7,58.333333333333336,0,0,0,0,1,1,1,1,0,1,5,50,1,1,1,1,0,1,5,83.33333333333333,"moderate","uncertain","good use"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,0,1,1,0,1,0,1,0,4,33.333333333333336,0,0,1,0,1,1,1,0,0,0,4,40,1,0,1,1,0,1,4,66.66666666666667,"poor","negtive","misuse"
"25–35","Male","Undergraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",1,0,0,0,1,1,0,1,1,1,0,0,6,50,0,0,1,0,1,1,0,0,0,1,4,40,0,0,1,1,0,1,3,50,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,0,0,1,1,1,1,0,1,1,1,0,8,66.66666666666667,0,0,1,0,1,1,0,1,0,1,5,50,1,1,1,1,1,0,5,83.33333333333333,"moderate","uncertain","good use"
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,1,1,1,1,1,1,0,1,1,1,0,10,83.33333333333333,0,0,1,0,1,1,0,0,0,1,4,40,1,1,0,1,1,1,5,83.33333333333333,"good","negtive","good use"
"> 45","Female","Undergraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",0,0,1,0,1,1,1,1,1,1,0,0,7,58.333333333333336,0,0,0,0,0,1,0,0,0,1,2,20,1,1,1,1,1,0,5,83.33333333333333,"moderate","negtive","good use"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,0,0,0,0,1,1,0,0,1,1,5,41.666666666666664,0,0,0,0,1,1,0,0,0,1,3,30,0,1,1,0,0,0,2,33.333333333333336,"poor","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",1,0,0,0,1,0,0,0,1,1,0,0,4,33.333333333333336,0,1,0,1,0,0,1,1,1,1,6,60,0,1,0,0,1,0,2,33.333333333333336,"poor","uncertain","misuse"
"25–35","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,0,0,0,0,0,0,1,1,0,0,0,2,16.666666666666668,0,0,1,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,1,16.666666666666668,"poor","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,0,1,0,0,0,1,0,1,1,1,1,6,50,0,0,0,0,0,0,0,0,0,1,1,10,1,1,1,0,0,0,3,50,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,0,0,1,0,0,1,0,0,0,0,0,2,16.666666666666668,1,0,0,0,0,1,1,1,1,1,6,60,1,0,0,0,1,1,3,50,"poor","uncertain","misuse"
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Always",1,0,1,0,1,1,1,0,1,0,0,0,6,50,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,50,"moderate","negtive","misuse"
"25–35","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Always",1,0,1,0,1,1,1,0,1,0,0,1,7,58.333333333333336,0,0,0,0,0,0,0,1,0,1,2,20,1,1,1,0,0,0,3,50,"moderate","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,0,0,0,1,1,1,0,1,1,0,0,6,50,0,1,0,0,0,0,0,1,0,1,3,30,1,1,1,0,1,1,5,83.33333333333333,"moderate","negtive","good use"
"36–45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",1,0,1,0,1,1,0,0,1,1,1,1,8,66.66666666666667,0,0,0,1,0,0,0,1,0,1,3,30,1,1,1,0,0,1,4,66.66666666666667,"moderate","negtive","misuse"
"36–45","Male","Secondary","Employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,0,0,0,1,0,0,0,1,8.333333333333334,0,1,0,0,1,1,0,0,0,1,4,40,0,0,0,0,0,0,0,0,"poor","negtive","misuse"
"36–45","Male","Postgraduate","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Never",0,1,1,1,0,0,0,0,0,1,1,1,6,50,0,1,0,0,1,1,1,0,0,0,4,40,0,1,0,1,1,1,4,66.66666666666667,"moderate","negtive","misuse"
"36–45","Male","Postgraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,1,0,0,0,0,0,1,1,0,0,3,25,1,0,1,1,1,1,0,0,1,1,7,70,0,0,1,0,1,1,3,50,"poor","uncertain","misuse"
"36–45","Female","Postgraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",1,1,1,0,0,1,1,0,0,1,1,1,8,66.66666666666667,1,1,0,1,1,1,1,0,0,1,7,70,0,0,1,1,1,0,3,50,"moderate","uncertain","misuse"
"25–35","Male","Postgraduate","Employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","1","Mother","Never",0,0,1,0,0,0,0,1,1,1,1,0,5,41.666666666666664,0,0,0,0,1,1,0,0,1,1,4,40,0,1,1,1,1,0,4,66.66666666666667,"poor","negtive","misuse"
"36–45","Male","Secondary","Self employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Sometimes",1,0,0,0,0,0,1,1,1,1,1,1,7,58.333333333333336,1,0,0,1,1,1,0,1,1,1,7,70,1,0,1,1,1,1,5,83.33333333333333,"moderate","uncertain","good use"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,0,0,0,0,1,1,0,1,1,0,0,5,41.666666666666664,0,0,0,0,0,0,0,1,1,0,2,20,1,1,1,0,0,1,4,66.66666666666667,"poor","negtive","misuse"
"25–35","Female","Secondary","Not employed","Extended family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Often",1,0,0,0,0,0,1,0,1,1,1,0,5,41.666666666666664,0,0,0,1,1,0,1,0,0,1,4,40,1,1,1,0,0,0,3,50,"poor","negtive","misuse"
"25–35","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","5–9","2","Mother","Never",1,0,0,0,0,1,1,0,1,0,0,0,4,33.333333333333336,0,0,0,0,1,1,0,0,0,1,3,30,1,1,1,1,1,1,6,100,"poor","negtive","good use"
"36–45","Female","Postgraduate","Not employed","Extended family","High (greater than 50000 BDT)","Female","> 10","1","Mother","Sometimes",1,0,0,1,1,0,1,0,1,1,1,0,7,58.333333333333336,1,1,0,1,1,1,0,0,0,1,6,60,1,1,1,0,1,1,5,83.33333333333333,"moderate","uncertain","good use"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,0,1,0,0,0,1,0,2,16.666666666666668,0,0,0,0,0,0,0,1,0,1,2,20,1,1,1,0,0,1,4,66.66666666666667,"poor","negtive","misuse"
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",0,0,0,0,1,1,1,0,1,1,1,0,6,50,0,0,0,1,1,1,0,0,0,0,3,30,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Sometimes",0,0,0,0,0,1,1,0,1,1,0,1,5,41.666666666666664,0,0,1,1,1,1,0,0,0,0,4,40,1,1,1,1,0,0,4,66.66666666666667,"poor","negtive","misuse"
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","5–9","2","Mother","Never",0,0,0,0,0,1,1,0,1,0,1,0,4,33.333333333333336,0,0,1,1,1,1,1,1,0,0,6,60,1,1,1,1,0,0,4,66.66666666666667,"poor","uncertain","misuse"
"> 45","Male","Postgraduate","Self employed","Extended family","High (greater than 50000 BDT)","Female","> 10","2","Father","Never",1,1,1,0,0,0,1,0,1,1,0,0,6,50,0,0,0,1,1,1,1,0,0,0,4,40,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Primary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10",">= 3","Father","Sometimes",0,0,0,0,0,0,0,0,1,0,0,0,1,8.333333333333334,0,1,1,0,1,1,1,0,0,0,5,50,1,1,1,1,1,1,6,100,"poor","uncertain","good use"
"> 45","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Female","> 10",">= 3","Mother","Never",1,1,1,1,0,0,1,0,1,1,0,0,7,58.333333333333336,0,1,1,0,1,1,1,0,0,1,6,60,1,1,1,1,1,1,6,100,"moderate","uncertain","good use"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Sometimes",0,0,0,0,0,0,1,0,1,1,0,0,3,25,0,0,1,0,1,1,0,0,0,0,3,30,1,1,1,1,1,0,5,83.33333333333333,"poor","negtive","good use"
"< 25","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","< 5","1","Mother","Never",1,0,0,0,1,1,1,0,1,1,0,1,7,58.333333333333336,0,1,0,0,1,1,0,0,0,0,3,30,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,0,1,0,1,1,0,0,3,25,0,0,1,0,1,1,0,0,0,0,3,30,1,1,1,1,0,0,4,66.66666666666667,"poor","negtive","misuse"
"36–45","Female","Postgraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,1,0,1,1,1,1,1,0,6,50,0,1,0,0,1,1,0,0,0,1,4,40,1,1,1,1,0,0,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",0,0,0,0,1,1,1,1,1,1,0,0,6,50,0,1,0,0,1,1,0,1,0,1,5,50,1,1,1,1,1,0,5,83.33333333333333,"moderate","uncertain","good use"
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Sometimes",0,0,0,0,0,0,1,0,1,1,0,0,3,25,0,0,0,0,1,1,0,1,0,0,3,30,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"< 25","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","< 5","1","Father","Never",0,0,0,0,0,0,0,0,1,1,0,1,3,25,0,0,0,0,1,1,0,0,0,0,2,20,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"< 25","Female","Undergraduate","Not employed","Single parent family","Low (less than 30000 BDT)","Male","5–9","1","Mother","Never",0,0,0,0,0,0,0,0,1,1,0,0,2,16.666666666666668,0,1,0,0,0,0,0,0,0,1,2,20,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"25–35","Female","Postgraduate","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","5–9","1","Mother","Never",1,0,0,0,0,1,1,0,1,1,0,0,5,41.666666666666664,0,1,1,0,1,1,0,0,0,1,5,50,1,1,1,1,0,1,5,83.33333333333333,"poor","uncertain","good use"
"< 25","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,1,1,1,0,1,1,0,0,5,41.666666666666664,0,0,1,0,1,1,0,0,0,0,3,30,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,1,1,0,0,1,1,0,0,4,33.333333333333336,0,0,0,0,1,1,0,0,0,1,3,30,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"36–45","Female","Postgraduate","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Sometimes",1,1,1,0,0,0,0,0,1,1,0,0,5,41.666666666666664,0,1,1,0,1,1,0,0,0,0,4,40,1,1,1,1,0,1,5,83.33333333333333,"poor","negtive","good use"
"36–45","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,1,1,0,0,0,1,1,1,1,0,0,7,58.333333333333336,0,1,1,0,1,1,0,0,0,0,4,40,1,1,1,1,0,1,5,83.33333333333333,"moderate","negtive","good use"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9","2","Mother","Sometimes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,4,40,1,0,1,1,1,0,4,66.66666666666667,"poor","negtive","misuse"
"36–45","Female","Secondary","Not employed","Extended family","High (greater than 50000 BDT)","Male","> 10",">= 3","Mother","Never",0,0,0,1,1,0,1,0,1,0,1,0,5,41.666666666666664,0,1,0,1,1,1,0,0,0,1,5,50,1,1,1,0,1,1,5,83.33333333333333,"poor","uncertain","good use"
"36–45","Male","Undergraduate","Self employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,1,1,1,1,1,0,1,0,1,1,10,83.33333333333333,0,0,0,0,0,0,0,0,0,1,1,10,0,1,1,0,0,1,3,50,"good","negtive","misuse"
"36–45","Female","Postgraduate","Not employed","Extended family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Never",1,0,1,0,1,1,1,0,1,1,0,0,7,58.333333333333336,1,1,0,1,1,1,1,1,1,1,9,90,1,1,1,1,1,1,6,100,"moderate","positive","good use"
"25–35","Female","Undergraduate","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","2","Mother","Never",1,0,0,0,1,0,0,1,1,1,0,1,6,50,0,0,0,0,1,1,0,0,0,1,3,30,1,1,1,0,0,1,4,66.66666666666667,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Female","> 10","1","Mother","Often",0,0,0,0,0,1,1,1,1,1,1,0,6,50,0,0,0,1,1,1,1,0,0,0,4,40,0,1,1,1,0,0,3,50,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Single parent family","Low (less than 30000 BDT)","Male","< 5","2","Mother","Often",0,0,0,0,0,0,1,1,1,1,0,1,5,41.666666666666664,1,1,1,0,1,1,1,1,1,0,8,80,0,0,1,1,0,0,2,33.333333333333336,"poor","positive","misuse"
"25–35","Female","Secondary","Not employed","Single parent family","Middle (less than 50000 BDT)","Male","5–9","2","Mother","Never",1,0,0,0,1,1,0,1,0,0,1,1,6,50,0,0,0,1,1,1,0,1,0,0,4,40,0,1,0,0,1,1,3,50,"moderate","negtive","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","5–9",">= 3","Mother","Never",1,0,1,0,1,1,0,0,0,0,0,0,4,33.333333333333336,0,1,0,0,1,0,1,1,0,1,5,50,0,1,1,0,1,1,4,66.66666666666667,"poor","uncertain","misuse"
"36–45","Male","Undergraduate","Employed","Nuclear family","Middle (less than 50000 BDT)","Male","> 10","1","Mother","Often",0,0,0,0,0,0,0,1,0,0,0,0,1,8.333333333333334,1,0,0,0,0,0,1,0,0,0,2,20,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"> 45","Male","Secondary","Employed","Nuclear family","High (greater than 50000 BDT)","Male","> 10","2","Mother","Never",1,1,1,0,0,0,0,0,1,0,1,0,5,41.666666666666664,0,1,0,0,0,0,1,0,0,0,2,20,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"> 45","Female","Secondary","Not employed","Nuclear family","High (greater than 50000 BDT)","Female","> 10","2","Mother","Never",0,0,0,0,0,0,0,0,1,0,0,0,1,8.333333333333334,0,1,0,0,1,0,1,0,0,1,4,40,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"> 45","Female","Primary","Not employed","Extended family","High (greater than 50000 BDT)","Female","> 10",">= 3","Mother","Never",0,0,0,0,0,0,1,0,1,1,0,0,3,25,1,1,0,0,0,1,1,0,0,1,5,50,0,1,1,1,0,1,4,66.66666666666667,"poor","uncertain","misuse"
"25–35","Female","Secondary","Not employed","Nuclear family","Middle (less than 50000 BDT)","Female","> 10","1","Mother","Never",0,0,0,0,0,1,0,1,1,0,0,0,3,25,1,1,0,0,0,0,1,1,0,0,4,40,0,1,1,0,1,1,4,66.66666666666667,"poor","negtive","misuse"
"36–45","Female","Secondary","Not employed","Nuclear family","Low (less than 30000 BDT)","Male","5–9","2","Mother","Never",0,0,1,0,0,0,0,0,1,0,1,0,3,25,1,0,0,0,0,0,0,0,1,1,3,30,0,1,1,0,0,1,3,50,"poor","negtive","misuse"
"25–35","Female","Postgraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","1","Mother","Always",0,1,1,0,0,0,0,1,1,0,0,0,4,33.333333333333336,0,1,0,1,0,0,0,1,0,1,4,40,0,1,1,0,1,1,4,66.66666666666667,"poor","negtive","misuse"
"36–45","Female","Undergraduate","Not employed","Nuclear family","High (greater than 50000 BDT)","Male","5–9","2","Mother","Sometimes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,1,6,60,0,1,1,1,0,0,3,50,"poor","uncertain","misuse"
"25–35","Female","Secondary","Not employed","Extended family","Low (less than 30000 BDT)","Female","5–9","2","Grandmother","Always",1,0,0,0,1,0,1,0,1,0,0,0,4,33.333333333333336,0,1,1,0,1,1,1,0,0,1,6,60,0,1,1,1,0,0,3,50,"poor","uncertain","misuse"
